channel,video_count,avg_views,median_views,std_views,min_views,max_views,avg_title_length,vfx_ratio,short_film_ratio,quote_ratio,colon_ratio,avg_desc_length,cta_ratio,social_ratio,avg_posting_hour,avg_posting_dow,consistency,view_range,reliability,avg_views_percentile,median_views_percentile,video_count_percentile,vfx_ratio_percentile,short_film_ratio_percentile,cta_ratio_percentile,social_ratio_percentile,performance_tier
UC-1rx8j9Ggp8mp4uD0ZdEIA,5065,342336.283,14788.0,2555790.749,0,78956285,67.135,0.936,0.429,0.968,0.916,1626.746,0.821,0.768,12.096,2.98,-6.465731434023895,78956285,1.0,0.7391304347826086,0.5869565217391305,1.0,0.9782608695652174,0.717391304347826,0.6739130434782609,0.6304347826086957,High
UC-vrN89jIox3XqAKbEMeFgQ,19,2605055.737,739650.0,4362447.095,154744,16697107,50.0,0.0,1.0,0.0,0.0,879.737,0.053,0.684,13.789,2.526,-0.6746079682824073,16542363,0.38,0.9565217391304348,0.9782608695652174,0.14130434782608695,0.42391304347826086,0.967391304347826,0.17391304347826086,0.6086956521739131,Elite
UC2zrmdd_rWlMc2rAufX9bSg,31,30074.452,10056.0,72117.628,2845,376085,29.032,0.0,0.0,0.0,0.0,2528.839,0.677,0.097,11.677,3.548,-1.3979698117192623,373240,0.62,0.30434782608695654,0.5217391304347826,0.42391304347826086,0.42391304347826086,0.21739130434782608,0.5217391304347826,0.30434782608695654,Medium
UC6P24bhhCmMPOcujA9PKPTA,1111,170225.689,77960.0,300673.816,0,3833843,40.001,0.036,0.04,0.013,0.261,1288.766,0.456,0.841,14.576,2.302,-0.7663245645608752,3833843,1.0,0.6304347826086957,0.8043478260869565,0.9347826086956522,0.9565217391304348,0.5217391304347826,0.45652173913043476,0.6956521739130435,High
UC6qhhbnMeoOPFBf-cjUgn3g,16,12037.062,998.5,29840.882,225,121026,63.625,0.0,0.0,0.0,0.0,954.438,0.0,1.0,14.0,3.75,-1.4790835172237213,120801,0.32,0.10869565217391304,0.21739130434782608,0.08695652173913043,0.42391304347826086,0.21739130434782608,0.07608695652173914,0.9782608695652174,Medium
UC71x8bBOwIEscxAltguHXMQ,444,104318.752,5660.0,541748.471,337,6290934,40.583,0.009,0.185,0.005,0.05,298.586,0.097,0.327,15.5,3.014,-4.193203145298365,6290597,1.0,0.5217391304347826,0.3695652173913043,0.8260869565217391,0.8913043478260869,0.5869565217391305,0.21739130434782608,0.5217391304347826,High
UC7sDT8jZ76VLV1u__krUutA,912,452425.834,110601.0,2139361.069,1249,39135314,48.022,0.0,0.78,0.872,0.356,2424.796,0.995,0.975,15.249,2.534,-3.7286448036917363,39134065,1.0,0.7608695652173914,0.8478260869565217,0.9130434782608695,0.42391304347826086,0.8695652173913043,0.8695652173913043,0.8478260869565217,High
UC8P49XCWzrcRVF1kct7BneA,221,70578.127,1225.0,550978.448,262,7466244,88.104,0.009,0.973,0.968,0.005,1266.158,1.0,0.995,14.29,2.145,-6.806645931536268,7465982,1.0,0.391304347826087,0.2608695652173913,0.782608695652174,0.8913043478260869,0.9130434782608695,0.9565217391304348,0.9130434782608695,Medium
UC9DAY2JD9zy9zKA5OtwpNtw,50,14635.38,738.5,63204.879,27,422789,37.44,0.0,0.0,0.18,0.02,655.72,0.36,0.16,15.04,2.7,-3.3186360039848646,422762,1.0,0.17391304347826086,0.08695652173913043,0.4782608695652174,0.42391304347826086,0.21739130434782608,0.3695652173913043,0.43478260869565216,Medium
UC9pJs4nFKM9xuW_enR4hHig,17,74624.118,8052.0,188702.27,1303,762439,29.176,0.0,1.0,0.0,0.0,1145.882,0.882,0.941,11.588,3.588,-1.5287035218292293,761136,0.34,0.41304347826086957,0.45652173913043476,0.10869565217391304,0.42391304347826086,0.967391304347826,0.6956521739130435,0.782608695652174,Medium
UCCykQNoqyABmoa3ZoaU93XA,30,61281.233,13488.5,168016.518,3074,915248,36.633,0.0,0.0,0.0,0.033,776.5,0.7,0.0,13.967,3.067,-1.7417287442633542,912174,0.6,0.3695652173913043,0.5434782608695652,0.3804347826086957,0.42391304347826086,0.21739130434782608,0.5434782608695652,0.07608695652173914,Medium
UCDp2VWtNgiaTjkhfCvdZmjA,19,96776.474,312.0,417143.55,15,1819343,40.579,0.0,0.158,0.0,0.053,496.737,0.0,0.053,13.947,2.579,-3.310381777290212,1819328,0.38,0.5,0.021739130434782608,0.14130434782608695,0.42391304347826086,0.5652173913043478,0.07608695652173914,0.1956521739130435,Medium
UCFfovcqnybrMbIrNjyND-nA,68,25156.397,975.5,117023.822,78,863816,59.544,0.0,0.515,0.015,0.118,950.162,0.735,0.676,9.191,3.515,-3.6518514555164634,863738,1.0,0.2391304347826087,0.17391304347826086,0.5434782608695652,0.42391304347826086,0.7391304347826086,0.5869565217391305,0.5869565217391305,Medium
UCFhLnzPQFjTtlUuf39emMfg,23,152563.739,27989.0,417175.894,5719,2031816,31.174,0.0,0.0,0.0,0.0,887.739,0.957,0.957,12.609,3.739,-1.7344367458115322,2026097,0.46,0.5652173913043478,0.6521739130434783,0.2826086956521739,0.42391304347826086,0.21739130434782608,0.782608695652174,0.8043478260869565,High
UCHUnLXalwe66kBndfmH5cXA,81,752.469,457.0,1819.122,95,15987,44.383,0.0,0.012,0.0,0.0,525.099,0.0,0.0,17.58,3.654,-1.417537466659756,15892,1.0,0.021739130434782608,0.06521739130434782,0.6304347826086957,0.42391304347826086,0.43478260869565216,0.07608695652173914,0.07608695652173914,Low
UCIAegrInVcw19QXmblowt2g,22,265938.045,6788.0,465700.477,188,1699219,43.682,0.0,0.0,0.136,0.045,722.136,0.273,0.045,13.545,1.773,-0.7511615421554296,1699031,0.44,0.717391304347826,0.43478260869565216,0.25,0.42391304347826086,0.21739130434782608,0.2826086956521739,0.17391304347826086,High
UCJF8kAS8VZ-KImRxLcvAs3w,156,53675.071,2156.0,434127.526,52,5262155,49.494,0.0,0.301,0.013,0.006,1491.212,0.994,0.981,13.244,2.359,-7.088066171351688,5262103,1.0,0.34782608695652173,0.30434782608695654,0.717391304347826,0.42391304347826086,0.6956521739130435,0.8478260869565217,0.8695652173913043,Medium
UCKMV8axq3zTUmiyXav2Ytew,172,29145.517,6284.0,135518.483,1804,1335246,27.843,0.0,0.0,0.0,0.006,2801.14,0.61,0.14,9.686,3.029,-3.6497196464210946,1333442,1.0,0.2826086956521739,0.41304347826086957,0.7608695652173914,0.42391304347826086,0.21739130434782608,0.5,0.391304347826087,Medium
UCMOB6uDg7e-h8OuCw8dK2_Q,771,717504.486,122131.0,2512141.339,1758,25770531,51.244,0.0,0.822,0.673,0.061,1761.309,0.918,0.923,15.468,2.114,-2.501220393763503,25768773,1.0,0.8043478260869565,0.8695652173913043,0.8804347826086957,0.42391304347826086,0.8913043478260869,0.7608695652173914,0.7391304347826086,High
UCN5mdjo8Odux4PvR297-K4Q,104,9445.558,1119.5,42139.988,85,409626,46.635,0.0,0.24,0.0,0.01,672.577,0.365,0.115,11.538,2.279,-3.461355062347825,409541,1.0,0.08695652173913043,0.2391304347826087,0.6739130434782609,0.42391304347826086,0.6304347826086957,0.391304347826087,0.34782608695652173,Low
UCN9-Y2E0_fLxtcWAgr89CsQ,13,87019.154,3645.0,174253.774,1050,564987,35.462,0.0,0.0,0.308,0.0,446.308,0.0,0.077,6.692,3.769,-1.0024760755545845,563937,0.26,0.45652173913043476,0.32608695652173914,0.06521739130434782,0.42391304347826086,0.21739130434782608,0.07608695652173914,0.21739130434782608,Medium
UCNvn1EEO-ZgN2IHkCLnA1Ng,22,14010.818,9031.5,12165.495,2940,47936,27.818,0.0,0.0,0.0,0.0,2967.091,0.773,0.136,9.5,2.864,0.13170701382317562,44996,0.44,0.15217391304347827,0.5,0.25,0.42391304347826086,0.21739130434782608,0.6086956521739131,0.3695652173913043,Medium
UCO7o35HtN0bRnCP1y5NNCng,25,9090.04,5781.0,10230.033,1151,50817,38.76,0.0,0.0,0.0,0.12,696.36,0.2,0.0,13.16,3.4,-0.12541121931256605,49666,0.5,0.06521739130434782,0.391304347826087,0.31521739130434784,0.42391304347826086,0.21739130434782608,0.2608695652173913,0.07608695652173914,Low
UCTCQA8vgOHhK9hKWsPncy7w,27,78959.481,8973.0,268368.187,2517,1402280,34.519,0.0,0.0,0.0,0.074,1341.556,0.296,0.037,12.481,3.407,-2.398808903011913,1399763,0.54,0.43478260869565216,0.4782608695652174,0.34782608695652173,0.42391304347826086,0.21739130434782608,0.32608695652173914,0.15217391304347827,Medium
UCTMt7iMWa7jy0fNXIktwyLA,503,1033142.072,262322.0,2452934.212,49338,25770540,22.899,0.0,0.0,0.0,0.002,2512.541,0.594,0.083,9.529,2.197,-1.3742467550968147,25721202,1.0,0.8478260869565217,0.9130434782608695,0.8478260869565217,0.42391304347826086,0.21739130434782608,0.4782608695652174,0.2608695652173913,Elite
UCTWiOA2IQyW_QaGv4t2UaCQ,37,1857742.216,615160.0,3413918.821,31198,19275224,31.919,0.0,0.0,0.0,0.0,529.865,0.973,0.973,5.73,3.676,-0.8376709058970968,19244026,0.74,0.8913043478260869,0.9565217391304348,0.45652173913043476,0.42391304347826086,0.21739130434782608,0.8043478260869565,0.8260869565217391,Elite
UCUrJu1fEq7kH9CBXaPH0PGw,111,12582.829,1298.0,42264.518,74,368870,34.631,0.009,0.027,0.0,0.072,359.973,0.099,0.081,11.586,3.955,-2.3589042654875145,368796,1.0,0.13043478260869565,0.2826086956521739,0.6956521739130435,0.8913043478260869,0.5,0.2391304347826087,0.2391304347826087,Medium
UCVNNriW_Mc2prgngYZ69T0A,73,773452.685,50731.0,2789256.451,2347,21322840,41.096,0.0,0.0,0.014,0.0,592.699,0.096,0.233,16.178,2.89,-2.606240569195257,21320493,1.0,0.8260869565217391,0.717391304347826,0.5652173913043478,0.42391304347826086,0.21739130434782608,0.1956521739130435,0.4782608695652174,High
UCW6NyJ6oFLPTnx7iGRZXDDg,771,260950.94,5027.0,1357388.829,384,16778201,81.484,0.027,0.686,0.706,0.013,866.231,0.917,0.409,13.357,3.149,-4.201701243153215,16777817,1.0,0.6956521739130435,0.34782608695652173,0.8804347826086957,0.9347826086956522,0.782608695652174,0.7391304347826086,0.5434782608695652,High
UCWnTC8o8AycL6a2eRrKSdBg,30,2908909.167,570171.5,5446238.863,79592,26611535,73.267,0.0,1.0,0.0,0.033,1315.3,1.0,0.933,6.967,3.933,-0.8722615765334416,26531943,0.6,0.9782608695652174,0.9347826086956522,0.3804347826086957,0.42391304347826086,0.967391304347826,0.9565217391304348,0.7608695652173914,Elite
UCX894EiI3iOKez6ULmZFlOg,99,148969.081,51583.0,253998.876,4901,1456200,55.626,0.0,0.0,0.02,0.202,437.687,0.404,0.495,16.253,2.192,-0.7050442568011812,1451299,1.0,0.5434782608695652,0.7391304347826086,0.6521739130434783,0.42391304347826086,0.21739130434782608,0.41304347826086957,0.5652173913043478,High
UCXLfJIEp91L-fD0gP131IaQ,437,169794.609,24856.0,602864.974,107,6191545,46.41,0.0,0.085,0.007,0.085,1642.746,1.0,0.769,17.076,3.32,-2.5505542699532944,6191438,1.0,0.6086956521739131,0.6304347826086957,0.8043478260869565,0.42391304347826086,0.5434782608695652,0.9565217391304348,0.6521739130434783,High
UCZtZ5HkDba6_zM_wpaQn60w,31,24237.677,935.0,90686.332,135,458869,50.968,0.0,0.774,0.194,0.065,668.452,0.29,0.0,13.0,3.548,-2.7415438781530095,458734,0.62,0.21739130434782608,0.15217391304347827,0.42391304347826086,0.42391304347826086,0.8478260869565217,0.30434782608695654,0.07608695652173914,Medium
UCamfFGyiS8aGLBK4sQ661ew,64,27867.406,14183.0,45886.599,2828,271997,30.125,0.0,0.0,0.0,0.0,2679.328,0.734,0.172,11.5,3.406,-0.6466046032415074,269169,1.0,0.2608695652173913,0.5652173913043478,0.5217391304347826,0.42391304347826086,0.21739130434782608,0.5652173913043478,0.45652173913043476,Medium
UCcRbWavyHkNsXdfot0yo8zw,58,91472.707,903.5,540064.08,78,4072400,20.293,0.0,0.017,0.017,0.034,98.155,0.034,0.0,11.983,3.552,-4.904100771829131,4072322,1.0,0.4782608695652174,0.13043478260869565,0.5,0.42391304347826086,0.4782608695652174,0.15217391304347827,0.07608695652173914,Medium
UCiCnPY--pbn5S8JkJdV2PbQ,2218,619828.978,59959.0,2140511.144,224,43383867,73.245,0.0,0.016,0.0,0.001,1602.46,0.803,0.828,10.452,2.797,-2.4533899187914376,43383643,1.0,0.782608695652174,0.782608695652174,0.9782608695652174,0.42391304347826086,0.45652173913043476,0.6521739130434783,0.6739130434782609,High
UCk6Znl7ryh2dKCX5opiu7ng,7,34697.143,986.0,79854.604,840,214853,42.857,0.0,0.0,0.0,0.0,549.857,0.0,0.0,10.857,3.571,-1.3014749081790398,214013,0.14,0.32608695652173914,0.1956521739130435,0.043478260869565216,0.42391304347826086,0.21739130434782608,0.07608695652173914,0.07608695652173914,Medium
UCkE6ZzUxUY_XMP688ib-RWA,25,5793503.4,3969784.0,6196161.065,1007393,29025545,89.96,0.0,1.0,0.0,0.0,1011.4,0.8,1.0,6.96,3.12,-0.06950158430907272,28018152,0.5,1.0,1.0,0.31521739130434784,0.42391304347826086,0.967391304347826,0.6304347826086957,0.9782608695652174,Elite
UCl6p6SZMiI966k1ZzdzY9sA,20,188943.3,59239.0,292454.704,3093,1198268,32.2,0.0,0.0,0.0,0.0,1969.55,0.35,0.15,12.5,2.65,-0.547843739365196,1195175,0.4,0.6739130434782609,0.7608695652173914,0.18478260869565216,0.42391304347826086,0.21739130434782608,0.34782608695652173,0.41304347826086957,High
UCpJ6Dn01AqjvFVN2EiK72Ag,20,1151918.35,166438.0,2564744.769,16455,11153997,52.8,0.0,0.7,0.05,0.0,1878.15,1.0,1.0,19.9,4.0,-1.2264987522770165,11137542,0.4,0.8695652173913043,0.8913043478260869,0.18478260869565216,0.42391304347826086,0.8260869565217391,0.9565217391304348,0.9782608695652174,Elite
UCpUhcwq3oB7HKvrNeQmxJsg,77,1867.117,365.0,4705.865,77,27473,34.052,0.0,0.195,0.013,0.0,536.909,0.416,0.104,12.688,2.779,-1.5203910627989567,27396,1.0,0.043478260869565216,0.043478260869565216,0.5869565217391305,0.42391304347826086,0.6086956521739131,0.43478260869565216,0.32608695652173914,Low
UCpa2QppVwCuivaWe5qfVY_Q,78,16091.885,877.0,88434.244,243,592436,77.949,0.0,0.295,0.013,0.051,1670.038,0.987,0.987,9.141,2.449,-4.495580163542059,592193,1.0,0.1956521739130435,0.10869565217391304,0.6086956521739131,0.42391304347826086,0.6739130434782609,0.8260869565217391,0.8913043478260869,Medium
UCrSvhrtUgpZT3EU0x1Zoy-w,1218,2238224.393,86706.5,9623542.406,0,187144483,72.207,0.95,0.691,0.912,0.343,2652.651,0.999,0.998,15.097,2.722,-3.2996325283994876,187144483,1.0,0.9130434782608695,0.8260869565217391,0.9565217391304348,1.0,0.8043478260869565,0.8913043478260869,0.9347826086956522,Elite
UCrUPTKJg_Oe-Bc4aC5CzrEQ,4,187134.5,14944.0,354276.084,460,718190,67.5,0.0,0.25,0.0,0.0,358.25,0.0,0.25,21.25,3.5,-0.8931628534556695,717730,0.08,0.6521739130434783,0.6086956521739131,0.021739130434782608,0.42391304347826086,0.6521739130434783,0.07608695652173914,0.5,High
UCsD-Qms-AkXDrsU962OicLw,21,156175.476,29300.0,413261.734,6883,1722413,78.429,0.0,0.0,0.095,0.143,346.19,1.0,0.095,15.429,2.238,-1.6461371822551705,1715530,0.42,0.5869565217391305,0.6739130434782609,0.21739130434782608,0.42391304347826086,0.21739130434782608,0.9565217391304348,0.2826086956521739,High
UCyp-EzJrdTOd9uNPvmdst-w,161,2278085.571,36232.0,16475547.472,3325,190150188,60.149,0.006,0.615,0.0,0.006,3634.168,0.907,0.907,14.447,1.776,-6.232189906179779,190146863,1.0,0.9347826086956522,0.6956521739130435,0.7391304347826086,0.8478260869565217,0.7608695652173914,0.717391304347826,0.717391304347826,Elite
